,Unnamed: 0,Setor,Subsetor,Produto,Quantidade (Kg) - jan. /2020,Valor (US$) - jan. / 2020,Quantidade (Kg) - fev. / 2020,Valor (US$) - fev. / 2020,Quantidade (Kg) mar. / 2020,Valor (US$) mar. / 2020,Quantidade (Kg) abr. / 2020,Valor (US$) abr. / 2020,Quantidade (Kg) mai. / 2020,Valor (US$) mai. / 2020,Quantidade (Kg) jun. / 2020,Valor (US$) jun. / 2020,Quantidade (Kg) jul. / 2020,Valor (US$) jul. / 2020,Quantidade (Kg) ago. / 2020,Valor (US$) ago. / 2020,Quantidade (Kg) set. / 2020,Valor (US$) set. / 2020,Quantidade (Kg) out. / 2020,Valor (US$) out. / 2020,Quantidade (Kg) nov. / 2020,Valor (US$) nov. / 2020,Quantidade (Kg) dez. / 2020 ,Valor (US$) dez. / 2020
362,362,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS PREPARADOS OU CONSERVADOS",SUCO DE TOMATE,4.116,4.537,1.249,1.362,1.517,1.916,3.071,3.756,4.084,3.914,3.959,4.151,3.492,3.368,2.585,2.473,3.333,3.344,3.010,2.712,2.277,2.087,2.258,2.021
363,363,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS PREPARADOS OU CONSERVADOS",TAPIOCA E SEUS SUCED�NEOS,191.698,276.195,282.728,406.173,161.581,246.433,202.244,279.016,369.750,526.721,183.990,298.265,240.552,384.536,342.311,514.706,285.305,431.390,274.693,391.368,294.486,444.130,289.156,417.195
364,364,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS PREPARADOS OU CONSERVADOS",TOMATES PREPARADOS OU CONSERVADOS,77.449,87.276,110.635,106.519,305.847,319.850,349.798,347.241,403.056,392.841,625.091,606.237,856.060,874.915,785.083,754.948,659.119,663.299,279.946,274.163,328.422,292.973,187.895,180.167
365,365,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",ALHO EM P�,260,1.503,191,1.222,10.685,27.664,11.292,29.885,17.217,29.003,873,3.530,15.928,40.673,1.216,4.491,417,2.941,10.372,26.419,20.223,49.700,490,2.086
366,366,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",CEBOLAS SECAS,36.858,8.804,4.334,4.395,5.236,6.283,9.003,11.571,8.426,11.634,9.782,25.859,115.058,23.146,552.958,61.145,9.078,14.777,6.547,9.700,36.347,8.564,9.527,11.684
367,367,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",COGUMELOS E TRUFAS SECOS,117,22.165,240,36.192,294,27.260,293,30.532,303,35.353,97,724,398,34.639,208,5.032,370,36.381,105,4.830,198,34.456,55,1.299
368,368,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS","DEMAIS PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",4.837,18.425,4.698,8.639,3.227,6.275,2.657,6.654,5.732,11.881,6.938,19.567,8.123,23.134,59.317,21.557,61.767,16.456,31.965,11.792,3.320,7.993,2.984,5.936
369,369,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",ERVILHAS SECAS,425,1.563,270,1.253,278,1.101,635,2.206,863,2.740,737,2.198,53.204,22.541,168.413,84.716,499,1.931,3.118,4.877,825,2.315,365,1.491
370,370,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",FEIJ�ES SECOS,1.766.037,1.209.082,1.407.402,1.195.117,5.103.425,3.990.747,5.592.069,4.271.073,6.966.654,5.569.269,20.332.404,17.184.461,31.433.915,25.556.432,23.790.433,18.594.324,25.054.751,20.342.335,19.298.518,15.927.163,20.473.754,19.131.078,15.389.646,14.851.030
371,371,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",GR�OS-DE-BICO SECOS,1.878,3.581,577,1.122,2.219,4.191,125.662,52.507,120.636,43.947,718,2.007,458,1.841,460,1.581,2.669,3.638,2.876,5.064,73.944,28.202,4.112,7.263
372,372,"PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS","PRODUTOS HORT�COLAS, LEGUMINOSAS, RA�ZES E TUB�RCULOS SECOS",LENTILHAS SECAS,1.938,4.694,2.379,4.713,2.174,3.974,7.482,11.546,2.541,5.737,3.349,7.708,2.949,6.996,4.904,8.964,3.720,8.215,8.548,13.614,6.087,10.512,7.518,13.134
373,373,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,AZEITE DE OLIVA,1.899,9.874,3.104,18.485,4.212,19.345,170.178,322.890,4.002,19.834,2.828,12.963,5.593,26.431,4.128,18.447,2.476,11.825,18.462,69.099,10.429,51.654,5.240,33.406
374,374,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,DEMAIS OLEOS VEGETAIS,29.377.537,7.580.332,31.318.678,7.365.284,31.277.196,8.582.731,26.606.122,7.936.923,31.236.402,9.909.031,25.914.039,10.513.673,29.680.861,10.388.317,43.052.939,13.942.969,26.624.893,9.172.016,36.992.344,12.040.885,33.479.600,10.962.089,34.060.602,13.918.856
375,375,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,OLEO DE ALGOD�O,467.492,397.085,,,1.384.067,1.207.162,1.200.526,1.018.272,41.070,58.807,8,32,3.391,2.712,326.026,246.789,602.780,534.472,617.649,501.200,24.389,42.569,38.394,68.029
376,376,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,�LEO DE AMENDOIM,919.816,1.280.204,1.908.611,2.767.511,4.345.950,6.600.554,7.407.949,11.578.834,10.931.802,17.766.808,10.244.913,17.341.362,8.851.767,14.899.560,5.944.621,9.800.817,3.899.738,6.209.623,6.051.255,10.528.595,3.423.247,6.135.549,3.507.060,6.586.643
377,377,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,OLEO DE BABA�U,3.140,18.246,29.652,107.901,4.275,18.278,42.325,177.110,24.413,128.067,20.426,79.256,8.331,42.241,14.851,56.845,41.402,202.187,2.637,17.036,32.727,128.297,22.267,162.152
378,378,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,OLEO DE COCO,796,6.453,2.827,28.681,240,1.903,731,6.258,1.638,13.472,2.020,22.731,7.263,55.203,53.982,203.625,31.716,112.368,29.689,132.192,16.608,136.161,6.989,53.617
379,379,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,OLEO DE DEND� OU DE PALMA,7.767.938,4.380.399,591.683,790.730,225.255,402.216,684.276,818.437,417.232,460.516,357.276,405.947,191.407,206.201,182.519,213.136,129.307,184.442,205.645,265.694,281.735,373.176,7.531.873,3.588.618
380,380,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,OLEO DE GIRASSOL,6.135,12.648,4.961,9.859,19.263,29.189,21.330,33.363,128.802,121.914,7.971,14.810,7.334,12.760,7.343,16.488,6.022,11.898,18.297,30.026,5.141,12.241,5.916,16.039
381,381,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),OLEOS VEGETAIS,OLEO DE MILHO,1.707.793,1.067.745,2.293.304,1.521.758,1.714.601,1.219.904,3.603.820,2.660.129,1.210.708,936.753,2.669.800,2.135.664,1.985.055,1.580.971,2.750.888,2.238.234,2.815.975,2.305.205,4.292.954,3.731.718,3.801.899,3.434.827,3.091.199,2.976.002
382,382,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),SEMENTES E FARELOS DE OLEAGINOSAS (EXCLUI SOJA),FARELOS DE OLEAGINOSAS,327,195,45.356,14.387,600.344,105.128,574.013,213.764,1.052.112,319.904,831.279,399.615,689.120,563.240,144.748,493.725,112.262,432.226,38.188,112.546,2.317,3.733,44.354,194.876
383,383,PRODUTOS OLEAGINOSOS (EXCLUI SOJA),SEMENTES E FARELOS DE OLEAGINOSAS (EXCLUI SOJA),SEMENTES DE OLEAGINOSAS (EXCLUI SOJA),1.866.493,1.340.221,4.989.496,1.584.860,1.907.887,921.726,1.966.514,1.031.178,3.090.131,1.098.508,2.661.020,1.320.276,8.493.394,8.182.931,14.182.796,13.777.448,15.004.351,10.526.109,18.575.374,13.748.155,16.853.230,13.601.325,12.514.108,11.871.610
384,384,RA��ES PARA ANIMAIS,RA��ES PARA ANIMAIS DOM�STICOS,ALIMENTOS PARA CAES E GATOS,2.730.344,2.315.628,3.495.154,2.904.866,3.804.231,3.367.025,4.568.351,3.801.907,4.427.786,3.780.389,4.638.478,3.858.143,5.952.709,4.991.428,4.997.321,4.623.055,5.725.120,4.575.178,5.134.502,4.538.159,4.940.115,5.273.450,6.617.556,7.614.030
385,385,RA��ES PARA ANIMAIS,RA��ES PARA ANIMAIS DOM�STICOS,OUTRAS RA��ES PARA ANIMAIS DOM�STICOS,15.779.068,15.611.337,17.305.114,16.824.184,19.416.999,19.762.075,22.060.614,23.646.302,25.304.145,26.192.641,24.975.930,23.783.889,24.643.202,23.547.647,25.965.270,23.820.113,22.535.421,21.223.416,25.218.368,24.691.881,23.277.714,21.821.978,31.696.359,27.970.004
386,386,SUCOS,OUTROS SUCOS,OUTROS SUCOS,66.761,110.472,123.054,205.208,124.489,228.562,110.229,88.850,90.512,204.028,107.688,162.377,199.655,166.233,112.126,105.298,171.318,205.912,273.073,351.742,235.191,296.746,88.842,241.271
387,387,SUCOS,SUCOS DE LARANJA,SUCOS DE LARANJA,159.135.903,112.502.092,144.073.660,108.643.286,158.595.077,130.820.081,128.080.699,85.377.779,160.452.195,129.901.725,188.460.490,106.490.228,120.244.682,80.037.006,145.621.391,105.177.482,229.672.598,148.870.038,218.595.690,145.945.868,195.655.121,134.900.665,195.307.645,136.623.753
388,388,SUCOS,SUCOS DE OUTRAS FRUTAS,DEMAIS SUCOS DE FRUTA,3.946.408,7.154.896,4.243.409,8.437.272,6.203.320,9.450.932,5.415.723,8.736.044,7.795.517,10.991.839,6.047.957,9.402.892,4.930.507,6.852.446,7.039.981,8.843.088,6.247.627,9.800.030,5.509.638,8.272.620,6.187.232,10.833.485,6.419.034,11.212.872
389,389,SUCOS,SUCOS DE OUTRAS FRUTAS,SUCO DE TOMATE,471,1.992,1.335,5.131,949,3.564,802,2.719,838,2.987,787,2.617,678,2.722,835,3.160,1.361,5.448,2.146,5.666,3.509,7.745,532,2.132
390,390,SUCOS,SUCOS DE OUTRAS FRUTAS,SUCOS DE ABACAXI,582.755,705.941,335.840,445.803,718.539,996.569,992.513,1.476.708,1.205.494,1.874.279,739.281,1.122.177,510.701,850.886,694.560,1.142.041,718.070,1.225.509,488.841,797.532,286.799,519.126,536.470,892.698
391,391,SUCOS,SUCOS DE OUTRAS FRUTAS,SUCOS DE MA��,196.294,251.569,210.931,271.786,215.255,275.673,2.503.550,3.130.551,588.137,700.200,4.802.874,4.884.672,587.505,693.762,144.247,164.929,250.681,314.335,395.824,417.265,2.559.976,2.583.661,610.724,614.757
392,392,SUCOS,SUCOS DE OUTRAS FRUTAS,SUCOS DE OUTROS C�TRICOS,1.175.813,2.564.557,1.474.576,3.325.600,2.665.557,4.350.955,2.601.331,5.017.666,3.131.941,4.905.017,1.176.994,1.552.897,1.794.966,2.398.451,969.542,1.313.062,849.262,1.027.409,1.037.964,1.427.387,1.434.311,1.987.253,7.933.362,6.929.774
393,393,SUCOS,SUCOS DE OUTRAS FRUTAS,SUCOS DE UVA,79.257,207.981,50.665,118.943,58.523,80.828,29.375,44.262,64.783,128.551,30.292,45.647,122.207,203.138,202.146,326.790,59.503,76.310,266.688,508.135,65.532,88.192,348.842,657.679
