,Unnamed: 0,Setor,Subsetor,Produto,Quantidade (Kg) - jan. /2020,Valor (US$) - jan. / 2020,Quantidade (Kg) - fev. / 2020,Valor (US$) - fev. / 2020,Quantidade (Kg) mar. / 2020,Valor (US$) mar. / 2020,Quantidade (Kg) abr. / 2020,Valor (US$) abr. / 2020,Quantidade (Kg) mai. / 2020,Valor (US$) mai. / 2020,Quantidade (Kg) jun. / 2020,Valor (US$) jun. / 2020,Quantidade (Kg) jul. / 2020,Valor (US$) jul. / 2020,Quantidade (Kg) ago. / 2020,Valor (US$) ago. / 2020,Quantidade (Kg) set. / 2020,Valor (US$) set. / 2020,Quantidade (Kg) out. / 2020,Valor (US$) out. / 2020,Quantidade (Kg) nov. / 2020,Valor (US$) nov. / 2020,Quantidade (Kg) dez. / 2020 ,Valor (US$) dez. / 2020
229,229,FRUTAS (INCLUI NOZES E CASTANHAS),"TANGERINAS, MANDARINAS E SATOSUMAS","TANGERINAS, MANDARINAS E SATOSUMAS FRESCAS OU SECAS",150,180,150,187,197,243,100,118,50,112,40,24,47,59,80,50,190,150,45,140,100,96,85,78
230,230,FRUTAS (INCLUI NOZES E CASTANHAS),UVAS,UVAS FRESCAS,842.286,2.139.703,370.505,901.522,1.668.073,4.639.980,2.681.028,6.363.319,3.410.017,6.930.819,1.365.604,2.717.715,414.864,755.713,504.963,926.248,3.381.908,7.452.420,14.154.078,30.695.907,14.911.842,33.681.449,5.522.846,11.787.514
231,231,FRUTAS (INCLUI NOZES E CASTANHAS),UVAS,UVAS SECAS,562,2.293,525,2.154,677,2.659,852,3.003,676,2.408,807,3.300,25.966,34.194,1.001,3.349,770,2.559,1.093,3.041,955,3.413,65.762,87.570
232,232,FUMO E SEUS PRODUTOS,FUMO N�O MANUFATURADO E DESPERD�CIOS DE FUMO,DESPERD�CIOS DE FUMO,5.062.729,1.736.331,6.625.205,2.151.877,9.403.438,3.032.632,5.279.930,1.724.057,6.494.920,2.402.460,8.031.767,2.940.692,8.142.533,2.942.902,20.085.810,6.876.700,13.371.566,3.666.528,16.112.737,5.004.008,12.884.037,4.586.737,12.932.017,4.194.442
233,233,FUMO E SEUS PRODUTOS,FUMO N�O MANUFATURADO E DESPERD�CIOS DE FUMO,FUMO N�O MANUFATURADO,15.646.952,78.776.153,27.142.924,131.393.169,25.814.921,112.727.166,16.202.692,75.979.242,20.176.680,82.251.045,29.633.611,113.641.104,42.478.938,163.706.522,35.796.024,130.411.059,32.868.871,116.435.702,33.750.116,130.471.610,36.616.751,151.838.524,44.559.735,184.678.536
234,234,FUMO E SEUS PRODUTOS,PRODUTOS DO FUMO MANUFATURADOS,CHARUTOS E CIGARRILHAS,5.996,117.061,713,69.010,86,4.342,757,18.355,2.842,105.472,6.186,96.770,539,56.871,707,68.754,19.304,250.873,35.711,381.200,13.888,197.068,2.189,73.260
235,235,FUMO E SEUS PRODUTOS,PRODUTOS DO FUMO MANUFATURADOS,CIGARROS,104.752,959.768,273.954,2.501.657,231.164,2.173.686,171.564,1.740.518,250.122,1.915.241,557.736,4.262.745,685.941,5.248.319,644.191,4.781.378,631.971,4.803.716,606.824,4.478.311,496.539,3.734.010,317.433,2.257.582
236,236,FUMO E SEUS PRODUTOS,PRODUTOS DO FUMO MANUFATURADOS,FUMO MANUFATURADO,1.107.621,3.958.499,1.550.301,6.500.084,1.382.505,5.745.874,905.425,3.451.567,2.057.915,7.692.399,2.210.440,8.249.185,2.268.198,7.503.915,2.463.748,8.410.531,2.431.159,8.303.758,1.955.650,6.600.542,3.591.731,10.762.960,2.186.923,7.134.704
237,237,L�CTEOS,DEMAIS  PRODUTOS L�CTEOS,DEMAIS  PRODUTOS L�CTEOS,30.028,29.975,29.330,32.812,96.541,142.390,958,7.313,113.100,340.672,82.300,289.909,10.746,14.214,8.035,13.710,13.167,22.990,71.504,113.469,130.240,223.132,2.632,11.829
238,238,L�CTEOS,DEMAIS  PRODUTOS L�CTEOS,DOCE DE LEITE,17.666,54.407,33.395,92.528,29.920,71.215,67.365,126.483,45.133,119.409,22.841,56.599,33.320,82.735,61.500,166.057,41.100,112.263,36.584,98.690,76.504,172.260,76.932,191.692
239,239,L�CTEOS,DEMAIS  PRODUTOS L�CTEOS,LEITE MODIFICADO,63.193,216.968,93.696,336.073,227.261,771.759,136.808,448.016,61.806,239.712,196.720,748.180,271.434,885.865,178.584,505.776,334.753,1.148.125,862.997,3.107.578,360.316,1.460.297,393.971,1.680.423
